pmid,pmcid,doi,year,first_author,title,status,source,filename,size_or_note,url,manual_url
11352969,,10.1200/jco.2001.19.10.2754,2001,Lawrence JA,"Phase I clinical trial of alitretinoin and tamoxifen in breast cancer patients: toxicity, pharmacokinetic, and biomarker evaluations",no_open_access,,,no OA location advertised,,https://doi.org/10.1200/jco.2001.19.10.2754
15663994,,10.1016/j.jsbmb.2004.10.006,2004,Peehl DM,Interaction of nuclear receptor ligands with the Vitamin D signaling pathway in prostate cancer,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/j.jsbmb.2004.10.006
11595692,,,2001,Adamson PC,"A phase I trial and pharmacokinetic study of 9-cis-retinoic acid (ALRT1057) in pediatric patients with refractory cancer: a joint Pediatric Oncology Branch, National Cancer Institute, and Children's Cancer Group study",no_open_access,,,no OA location advertised,,https://pubmed.ncbi.nlm.nih.gov/11595692/
16243370,,10.1016/j.steroids.2005.08.009,2006,Sepulveda VA,Prostate cancer cell type-specific involvement of the VDR and RXR in regulation of the human PTHrP gene via a negative VDRE,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/j.steroids.2005.08.009
10901377,PMC2363480,10.1054/bjoc.2000.1281,2000,Pettersson F,Differential and antagonistic effects of 9-cis-retinoic acid and vitamin D analogues on pancreatic cancer cells in vitro,downloaded,pmc_render,10901377_Pettersson_F_2000.pdf,340 KB,https://europepmc.org/articles/PMC2363480?pdf=render,
10779693,,10.1016/s0304-4165(00)00036-2,2000,Cimini A,Presence and inducibility of peroxisomes in a human glioblastoma cell line,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0304-4165(00)00036-2
23489423,PMC3602921,10.1111/exd.12099,2013,Paterson EK,9-cis retinoic acid is the ALDH1A1 product that stimulates melanogenesis,no_open_access,,,OA links found but publisher blocks download,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3602921/
9929154,,10.1016/s0304-3835(98)00147-5,1998,Dawson MI,"Effects of trans-retinoic acid, 9-cis-retinoic acid, 1alpha,25-(dihydroxy)vitamin D3 and a novel apoptosis-inducing retinoid on breast cancer and endothelial cell growth",no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0304-3835(98)00147-5
10799735,,10.1016/s0304-3835(00)00341-4,2000,Wan YJ,Fatty acyl-CoAs inhibit retinoic acid-induced apoptosis in Hep3B cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0304-3835(00)00341-4
21792151,PMC6264713,10.3390/molecules16086339,2011,Liu DP,Furocoumarin derivatives from radix Angelicae dahuricae and their effects on RXRα transcriptional regulation,downloaded,pmc_render,21792151_Liu_DP_2011.pdf,481 KB,https://europepmc.org/articles/PMC6264713?pdf=render,
9731207,,10.1006/bbrc.1998.9186,1998,Güzey M,"Combinational effects of vitamin D3 and retinoic acid (all trans and 9 cis) on proliferation, differentiation, and programmed cell death in two small cell lung carcinoma cell lines",no_open_access,,,no OA location advertised,,https://doi.org/10.1006/bbrc.1998.9186
9326225,,,1997,Morosetti R,"A novel, myeloid transcription factor, C/EBP epsilon, is upregulated during granulocytic, but not monocytic, differentiation",no_open_access,,,OA links found but publisher blocks download,,https://pubmed.ncbi.nlm.nih.gov/9326225/
15026318,,10.1182/blood-2003-07-2203,2004,Ikezoe T,Insulin-like growth factor binding protein-3 antagonizes the effects of retinoids in myeloid leukemia cells,no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1182/blood-2003-07-2203
15788681,,10.1158/1078-0432.ccr-04-2074,2005,Han JY,9-cis-retinoic acid treatment increases serum concentrations of alpha-tocopherol in former smokers,no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1158/1078-0432.ccr-04-2074
23094762,,10.3109/00365513.2012.721520,2012,Kolseth IB,Human monocyte responses to lipopolysaccharide and 9-cis retinoic acid after laparoscopic surgery for colon cancer,no_open_access,,,no OA location advertised,,https://doi.org/10.3109/00365513.2012.721520
9276450,,10.1016/s0014-5793(97)00830-2,1997,Poirier H,9-cis-retinoic acid enhances fatty acid-induced expression of the liver fatty acid-binding protein gene,no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1016/s0014-5793(97)00830-2
10775039,,,2000,Koli K,"1alpha,25-dihydroxyvitamin D3 and its analogues down-regulate cell invasion-associated proteases in cultured malignant cells",no_open_access,,,no OA location advertised,,https://pubmed.ncbi.nlm.nih.gov/10775039/
9337080,,10.1016/s0006-2952(97)00195-0,1997,James SY,The role of vitamin D derivatives and retinoids in the differentiation of human leukaemia cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0006-2952(97)00195-0
9398087,,10.1016/s0167-4889(97)00099-2,1997,Kanatani Y,"Differanisole A, a novel antitumor antibiotic, enhances growth inhibition and differentiation of human myeloid leukemia cells induced by 9-cis retinoic acid",no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0167-4889(97)00099-2
9128293,,10.1203/00006450-199705000-00015,1997,George TN,Regulation of surfactant protein gene expression by retinoic acid metabolites,no_open_access,,,no OA location advertised,,https://doi.org/10.1203/00006450-199705000-00015
12189556,PMC2376147,10.1038/sj.bjc.6600496,2002,Pettersson F,Retinoids cause apoptosis in pancreatic cancer cells via activation of RAR-gamma and altered expression of Bcl-2/Bax,downloaded,pmc_render,12189556_Pettersson_F_2002.pdf,182 KB,https://europepmc.org/articles/PMC2376147?pdf=render,
11464864,,10.1002/1096-911x(20010101)36:1<127::aid-mpo1030>3.0.co;2-b,2001,Ponthan F,"The vitamin A analogues: 13-cis retinoic acid, 9-cis retinoic acid, and Ro 13-6307 inhibit neuroblastoma tumour growth in vivo",no_open_access,,,no OA location advertised,,https://doi.org/10.1002/1096-911x(20010101)36:1<127::aid-mpo1030>3.0.co;2-b
9115594,,10.1051/rnd:19970101,1997,Lamari Y,"Decrease in CGRP and CT levels either contained in or released by CA-77 C cells after combined treatments with 1,25-dihydroxyvitamin D3 analogues and 9-cis retinoic acid",downloaded,europepmc,9115594_Lamari_Y_1997.pdf,645 KB,http://rnd.edpsciences.org/articles/rnd/pdf/1997/01/RND_0926-5287_1997_37_1_ART0001.pdf,
15150131,,10.1158/0008-5472.can-03-3924,2004,Park EY,Transactivation of the PPAR-responsive enhancer module in chemopreventive glutathione S-transferase gene by the peroxisome proliferator-activated receptor-gamma and retinoid X receptor heterodimer,no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1158/0008-5472.can-03-3924
19022954,,10.3945/jn.108.093724,2008,Fu X,"9-Cis retinoic acid reduces 1alpha,25-dihydroxycholecalciferol-induced renal calcification by altering vitamin K-dependent gamma-carboxylation of matrix gamma-carboxyglutamic acid protein in A/J male mice",no_open_access,,,no OA location advertised,,https://doi.org/10.3945/jn.108.093724
10067845,,10.1210/endo.140.3.6561,1999,Zhao XY,"Induction of androgen receptor by 1alpha,25-dihydroxyvitamin D3 and 9-cis retinoic acid in LNCaP human prostate cancer cells",no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1210/endo.140.3.6561
24156709,,10.4149/endo_2013_04_205,2013,Flodrova D,Effects of retinoic acid isomers on proteomic pattern in human breast cancer MCF-7 cell line,no_open_access,,,no OA location advertised,,https://doi.org/10.4149/endo_2013_04_205
12582020,,,2003,Alvarez RD,The efficacy of 9-cis-retinoic acid (aliretinoin) as a chemopreventive agent for cervical dysplasia: results of a randomized double-blind clinical trial,no_open_access,,,no OA location advertised,,https://pubmed.ncbi.nlm.nih.gov/12582020/
27248824,PMC5173105,10.18632/oncotarget.9630,2016,Mastorci K,Phospholipid scramblase 1 as a critical node at the crossroad between autophagy and apoptosis in mantle cell lymphoma,downloaded,pmc_render,27248824_Mastorci_K_2016.pdf,4981 KB,https://europepmc.org/articles/PMC5173105?pdf=render,
12488329,,10.1210/en.2001-210109,2003,Polek TC,"p53 Is required for 1,25-dihydroxyvitamin D3-induced G0 arrest but is not required for G1 accumulation or apoptosis of LNCaP prostate cancer cells",no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1210/en.2001-210109
12939463,,,2003,Ikeda N,"Combination treatment with 1alpha,25-dihydroxyvitamin D3 and 9-cis-retinoic acid directly inhibits human telomerase reverse transcriptase transcription in prostate cancer cells",no_open_access,,,no OA location advertised,,https://pubmed.ncbi.nlm.nih.gov/12939463/
9823949,,10.1038/sj.leu.2401197,1998,Pallis M,Blast maturity and CD34 expression determine the effects of the differentiating agents KH1060 and 9-cis-retinoic acid on the differentiation and clonogenicity of non-M3 acute myeloid leukaemia cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1038/sj.leu.2401197
11090967,,10.1016/s0304-3835(00)00604-2,2000,Kanekura T,Inhibitory effects of 9-cis-retinoic acid and pyrrolidinedithiocarbamate on cyclooxygenase (COX)-2 expression and cell growth in human skin squamous carcinoma cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0304-3835(00)00604-2
12599584,,,2002,Uemura H,[A novel molecular target therapeutics for refractory prostate cancer],no_open_access,,,no OA location advertised,,https://pubmed.ncbi.nlm.nih.gov/12599584/
11426631,,10.3109/10428190009054883,2000,Younes A,Experience with 9-cis retinoic acid in patients with relapsed and refractory non-Hodgkin's lymphoma,no_open_access,,,no OA location advertised,,https://doi.org/10.3109/10428190009054883
17205520,,10.1002/ijc.22462,2007,Mernitz H,"Inhibition of lung carcinogenesis by 1alpha,25-dihydroxyvitamin D3 and 9-cis retinoic acid in the A/J mouse model: evidence of retinoid mitigation of vitamin D toxicity",no_open_access,,,no OA location advertised,,https://doi.org/10.1002/ijc.22462
10398275,,10.1002/(sici)1097-0045(19990801)40:3<141::aid-pros1>3.0.co;2-c,1999,Elstner E,Novel 20-epi-vitamin D3 analog combined with 9-cis-retinoic acid markedly inhibits colony growth of prostate cancer cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1002/(sici)1097-0045(19990801)40:3<141::aid-pros1>3.0.co;2-c
16340750,,10.1097/01.mpa.0000191648.47667.4f,2006,Mouratidis PX,Investigation of the mechanisms by which EB1089 abrogates apoptosis induced by 9-cis retinoic acid in pancreatic cancer cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1097/01.mpa.0000191648.47667.4f
9952315,,10.1016/s0006-2952(98)00329-3,1999,Makishima M,Greater synergism of retinoic acid receptor (RAR) agonists with vitamin D3 than that of retinoid X receptor (RXR) agonists with regard to growth inhibition and differentiation induction in monoblastic leukemia cells,no_open_access,,,no OA location advertised,,https://doi.org/10.1016/s0006-2952(98)00329-3
9075707,,10.1210/endo.138.4.5063,1997,Blutt SE,"1,25-dihydroxyvitamin D3 and 9-cis-retinoic acid act synergistically to inhibit the growth of LNCaP prostate cells and cause accumulation of cells in G1",no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1210/endo.138.4.5063
12585964,PMC1223391,10.1042/bj20021532,2003,Kardassis D,Synergism between nuclear receptors bound to specific hormone response elements of the hepatic control region-1 and the proximal apolipoprotein C-II promoter mediate apolipoprotein C-II gene regulation by bile acids and retinoids,downloaded,pmc_render,12585964_Kardassis_D_2003.pdf,513 KB,https://europepmc.org/articles/PMC1223391?pdf=render,
11397803,,10.1074/jbc.m103587200,2001,Samuel W,Regulation of stearoyl coenzyme A desaturase expression in human retinal pigment epithelial cells by retinoic acid,no_open_access,,,OA links found but publisher blocks download,,https://doi.org/10.1074/jbc.m103587200
11313967,,10.1038/sj.onc.1204081,2001,Niitsu N,Downregulation of MLL-CBP fusion gene expression is associated with differentiation of SN-1 cells with t(11;16)(q23;p13),no_open_access,,,no OA location advertised,,https://doi.org/10.1038/sj.onc.1204081
11820773,,10.1006/bbrc.2002.6358,2002,Stein O,Macrophage cholesterol efflux to free apoprotein A-I in C3H and C57BL/6 mice,no_open_access,,,no OA location advertised,,https://doi.org/10.1006/bbrc.2002.6358
